"Position","Name","Type","Signal","Label"
"1","PE2",,"QUADSPI_BK1_IO2","QSPI_FLASH_IO2"
"2","PE3",,"GPIO_Output","BLE_RESET"
"3","PE4",,"GPIO_Output","MOTOR_RIGHT_DIRECTION_1"
"4","PE5",,"GPIO_Output","MOTOR_RIGHT_DIRECTION_2"
"5","PE6",,"Reset_State",""
"6","VBAT",,"Power",""
"7","PI8",,"GPIO_Output","MOTOR_LEFT_DIRECTION_2"
"8","PC13",,"GPIO_Output","MOTOR_LEFT_DIRECTION_1"
"9","PC14/OSC32_IN",,"RCC_OSC32_IN","LSE_IN"
"10","PC15/OSC32_OUT",,"RCC_OSC32_OUT","LSE_OUT"
"11","PI9",,"FMC_D30","FMC_SRAM_D30"
"12","PI10",,"FMC_D31","FMC_SRAM_D31"
"13","PI11",,"GPIO_EXTI11","BLE_IRQ"
"14","VSS",,"Power",""
"15","VDD",,"Power",""
"16","PF0",,"FMC_A0","FMC_SRAM_A0"
"17","PF1",,"FMC_A1","FMC_SRAM_A1"
"18","PF2",,"FMC_A2","FMC_SRAM_A2"
"19","PI12",,"GPIO_Output","SENSOR_PROXIMITY_MUX_RESET"
"20","PI13",,"GPIO_EXTI13","SENSOR_PROXIMITY_MUX_IRQA"
"21","PI14",,"Reset_State",""
"22","PF3",,"FMC_A3","FMC_SRAM_A3"
"23","PF4",,"FMC_A4","FMC_SRAM_A4"
"24","PF5",,"FMC_A5","FMC_SRAM_A5"
"25","VSS",,"Power",""
"26","VDD",,"Power",""
"27","PF6",,"SPI5_NSS","BLE_SPI_NSS"
"28","PF7",,"SPI5_SCK","BLE_SPI_SCK"
"29","PF8",,"SPI5_MISO","BLE_SPI_MISO"
"30","PF9",,"SPI5_MOSI","BLE_SPI_MOSI"
"31","PF10",,"GPIO_Input","MCU_MIC_INPUT"
"32","PH0/OSC_IN",,"RCC_OSC_IN","HSE_IN"
"33","PH1/OSC_OUT",,"RCC_OSC_OUT","HSE_OUT"
"34","NRST",,"Reset_State",""
"35","PC0",,"GPIO_Input","BATTERY_CHARGE_STATUS"
"36","PC1",,"ADC1_IN11","MOTOR_LEFT_VOLTAGE"
"37","PC2",,"ADC1_IN12","MOTOR_RIGHT_VOLTAGE"
"38","PC3",,"ADC1_IN13","BATTERY_VOLTAGE"
"39","VDD",,"Power",""
"40","VSSA",,"Power",""
"41","VREF+",,"Power",""
"42","VDDA",,"Power",""
"43","PA0/WKUP",,"SYS_WKUP1","MCU_SYS_WAKE_UP"
"44","PA1",,"GPIO_Analog","MOTOR_LEFT_PWM"
"45","PA2",,"GPIO_Analog","MOTOR_RIGHT_PWM"
"46","PH2",,"FMC_SDCKE0","FMC_SRAM_SDCKE0"
"47","PH3",,"FMC_SDNE0","FMC_SRAM_SDNE0"
"48","PH4",,"GPIO_Output","DEBUG_LED"
"49","PH5",,"FMC_SDNWE","FMC_SRAM_SDNWE"
"50","PA3",,"USART2_RX","WIFI_USART_RX"
"51","VSS",,"Power",""
"52","VDD",,"Power",""
"53","PA4",,"DAC_OUT1","MCU_SOUND_OUT"
"54","PA5",,"SPI1_SCK","SD_SPI_SCK"
"55","PA6",,"SPI1_MISO","SD_SPI_MISO"
"56","PA7",,"SPI1_MOSI","SD_SPI_MOSI"
"57","PC4",,"GPIO_Output","SD_SPI_CS"
"58","PC5",,"Reset_State",""
"59","VDD",,"Power",""
"60","VSS",,"Power",""
"61","PB0",,"Reset_State",""
"62","PB1",,"ADC1_IN9","SENSOR_LIGHT_ADC_INPUT"
"63","PB2",,"QUADSPI_CLK","QSPI_FLASH_CLK"
"64","PI15",,"Reset_State",""
"65","PJ0",,"GPIO_Input","SYS_POWER_CHECKUP_3V3"
"66","PJ1",,"GPIO_Input","SYS_POWER_CHECKUP_5V"
"67","PJ2",,"DSIHOST_TE","MIPI_DSI_TE"
"68","PJ3",,"GPIO_Output","WIFI_RESET"
"69","PJ4",,"Reset_State",""
"70","PF11",,"FMC_SDNRAS","FMC_SRAM_SDNRAS"
"71","PF12",,"FMC_A6","FMC_SRAM_A6"
"72","VSS",,"Power",""
"73","VDD",,"Power",""
"74","PF13",,"FMC_A7","FMC_SRAM_A7"
"75","PF14",,"FMC_A8","FMC_SRAM_A8"
"76","PF15",,"FMC_A9","FMC_SRAM_A9"
"77","PG0",,"FMC_A10","FMC_SRAM_A10"
"78","PG1",,"FMC_A11","FMC_SRAM_A11"
"79","PE7",,"FMC_D4","FMC_SRAM_D4"
"80","PE8",,"FMC_D5","FMC_SRAM_D5"
"81","PE9",,"FMC_D6","FMC_SRAM_D6"
"82","VSS",,"Power",""
"83","VDD",,"Power",""
"84","PE10",,"FMC_D7","FMC_SRAM_D7"
"85","PE11",,"FMC_D8","FMC_SRAM_D8"
"86","PE12",,"FMC_D9","FMC_SRAM_D9"
"87","PE13",,"FMC_D10","FMC_SRAM_D10"
"88","PE14",,"FMC_D11","FMC_SRAM_D11"
"89","PE15",,"FMC_D12","FMC_SRAM_D12"
"90","PB10",,"QUADSPI_BK1_NCS","QSPI_FLASH_nCS"
"91","PB11",,"Reset_State",""
"92","VCAP_1",,"Power",""
"93","VSS",,"Power",""
"94","VDD",,"Power",""
"95","PJ5",,"Reset_State",""
"96","PH6",,"Reset_State",""
"97","PH7",,"I2C3_SCL","SENSOR_PROXIMITY_MUX_I2C_SCL"
"98","PH8",,"FMC_D16","FMC_SRAM_D12"
"99","PH9",,"FMC_D17","FMC_SRAM_D13"
"100","PH10",,"FMC_D18","FMC_SRAM_D14"
"101","PH11",,"FMC_D19","FMC_SRAM_D15"
"102","PH12",,"FMC_D20","FMC_SRAM_D16"
"103","VDD",,"Power",""
"104","PB12",,"Reset_State",""
"105","PB13",,"SPI2_SCK","LED_EARS_SPI_SCK"
"106","PB14",,"GPIO_Analog","SCREEN_BACKLIGHT_PWM"
"107","PB15",,"SPI2_MOSI","LED_EARS_SPI_MOSI"
"108","PD8",,"FMC_D13","FMC_SRAM_D13"
"109","PD9",,"FMC_D14","FMC_SRAM_D14"
"110","PD10",,"FMC_D15","FMC_SRAM_D15"
"111","PD11",,"QUADSPI_BK1_IO0","QSPI_FLASH_IO0"
"112","PD12",,"Reset_State",""
"113","PD13",,"QUADSPI_BK1_IO3","QSPI_FLASH_IO3"
"114","VSS",,"Power",""
"115","VDD",,"Power",""
"116","PD14",,"FMC_D0","FMC_SRAM_D0"
"117","PD15",,"FMC_D1","FMC_SRAM_D1"
"118","VDDDSI",,"Power",""
"119","VCAPDSI",,"Power",""
"120","DSIHOST_D0P",,"DSIHOST_D0P","MIPI_DSI_D0P"
"121","DSIHOST_D0N",,"DSIHOST_D0N","MIPI_DSI_D0N"
"122","VSSDSI",,"Power",""
"123","DSIHOST_CKP",,"DSIHOST_CKP","MIPI_DSI_CKP"
"124","DSIHOST_CKN",,"DSIHOST_CKN","MIPI_DSI_CKN"
"125","VDD12DSI",,"Power",""
"126","DSIHOST_D1P",,"DSIHOST_D1P","MIPI_DSI_D1P"
"127","DSIHOST_D1N",,"DSIHOST_D1N","MIPI_DSI_D1N"
"128","VSSDSI",,"Power",""
"129","PG2",,"Reset_State",""
"130","PG3",,"Reset_State",""
"131","PG4",,"FMC_BA0","FMC_SRAM_BA0"
"132","PG5",,"FMC_BA1","FMC_SRAM_BA1"
"133","PG6",,"Reset_State",""
"134","PG7",,"GPIO_Output","BT_WAKE_UP"
"135","PG8",,"FMC_SDCLK","FMC_SRAM_SDCLK"
"136","VSS",,"Power",""
"137","VDDUSB",,"Power",""
"138","PC6",,"USART6_TX","BT_UART_TX"
"139","PC7",,"USART6_RX","BT_UART_RX"
"140","PC8",,"GPIO_Output","BT_RESET"
"141","PC9",,"I2C3_SDA","SENSOR_PROXIMITY_MUX_I2C_SDA"
"142","PA8",,"GPIO_Output","SOUND_ENABLE"
"143","PA9",,"USART1_TX","SYS_PROG_VCP_TX"
"144","PA10",,"USART1_RX","SYS_PROG_VCP_RX"
"145","PA11",,"UART4_RX","RFID_UART_RX"
"146","PA12",,"UART4_TX","RFID_UART_TX"
"147","PA13",,"SYS_JTMS-SWDIO","SYS_PROG_SWDIO"
"148","VCAP_2",,"Power",""
"149","VSS",,"Power",""
"150","VDD",,"Power",""
"151","PH13",,"FMC_D21","FMC_SRAM_D21"
"152","PH14",,"FMC_D22","FMC_SRAM_D22"
"153","PH15",,"FMC_D23","FMC_SRAM_D23"
"154","PI0",,"FMC_D24","FMC_SRAM_D24"
"155","PI1",,"FMC_D25","FMC_SRAM_D25"
"156","PI2",,"FMC_D26","FMC_SRAM_D26"
"157","PI3",,"FMC_D27","FMC_SRAM_D27"
"158","VDD",,"Power",""
"159","PA14",,"SYS_JTCK-SWCLK","SYS_PROG_SWCLK"
"160","PA15",,"GPIO_EXTI15","SENSOR_MAGNETO_IRQ"
"161","PC10",,"QUADSPI_BK1_IO1","QSPI_FLASH_IO1"
"162","PC11",,"Reset_State",""
"163","PC12",,"GPIO_Output","WIFI_ENABLE"
"164","PD0",,"FMC_D2","FMC_SRAM_D2"
"165","PD1",,"FMC_D3","FMC_SRAM_D2"
"166","PD2",,"GPIO_Output","WIFI_ACTIVATE_UPDATE"
"167","PD3",,"USART2_CTS","WIFI_USART_CTS"
"168","PD4",,"USART2_RTS","WIFI_USART_RTS"
"169","PD5",,"USART2_TX","WIFI_USART_TX"
"170","VSS",,"Power",""
"171","VDDSDMMC",,"Power",""
"172","PD6",,"Reset_State",""
"173","PD7",,"Reset_State",""
"174","PJ12",,"Reset_State",""
"175","PJ13",,"Reset_State",""
"176","PJ14",,"Reset_State",""
"177","PJ15",,"GPIO_Output","MIPI_DSI_RESET"
"178","PG9",,"GPIO_EXTI9","SENSOR_IMU_IRQ"
"179","PG10",,"GPIO_EXTI10","SENSOR_PROXIMITY_MUX_IRQB"
"180","PG11",,"Reset_State",""
"181","PG12",,"Reset_State",""
"182","PG13",,"SPI6_SCK","LED_BELT_SPI_SCK"
